word;translation;sentence;association
backlog;список невыполненных задач;We have a huge backlog of feature requests that needs to be prioritized.;BACK — задачи сзади, которые тебя догоняют
sprint;спринт (короткий рабочий цикл);The team will deliver the new dashboard by the end of this sprint.;бег на короткую дистанцию — быстро и конкретно
milestone;контрольная точка / веха;We hit a major milestone by shipping the beta version on time.;MILE + STONE — камень на дороге, отмечающий пройденный путь
deliverable;результат работы / то, что нужно сдать;The main deliverable for this quarter is the updated API documentation.;DELIVER — то, что нужно «доставить» заказчику
roadmap;план развития продукта;The product roadmap shows our priorities for the next 12 months.;ROAD + MAP — карта дороги, по которой идёт продукт
bottleneck;узкое место / затор;The database query is the bottleneck slowing down the entire pipeline.;бутылочное горлышко — самое узкое место
rollout;запуск / поэтапное развёртывание;The feature rollout will happen gradually — first 5%, then 25%, then 100%.;ROLL OUT — раскатываем по пользователям
iterate;итерировать / улучшать постепенно;We iterate on the design based on user feedback after each release.;iter — снова и снова, шаг за шагом
pivot;кардинально изменить направление;After poor retention numbers, the team decided to pivot to a B2B model.;поворот на месте — резко меняем курс
scope creep;постепенное расширение задачи сверх плана;Scope creep added three weeks to the project timeline without anyone noticing.;CREEP — незаметно вползает в проект
sign-off;официальное одобрение / согласование;We need sign-off from legal before releasing the new privacy policy.;подпись внизу документа — финальный OK
kickoff;стартовое совещание / начало проекта;The project kickoff is scheduled for Monday at 10 AM.;KICK OFF — футбольный начальный удар, старт игры
stakeholder;заинтересованная сторона;We need to align all stakeholders before making a final decision.;STAKE — ставка, HOLDER — тот, у кого есть интерес
bandwidth;пропускная способность / наличие времени;I don't have the bandwidth to take on another project right now.;ширина канала — сколько «влезает» в тебя сейчас
sync;синхронизироваться / короткое совещание;Let's sync tomorrow morning to go over the deployment plan.;синхронизация часов — все на одной волне
alignment;согласованность / единое понимание;We need better alignment between the product and engineering teams.;выравнивание — все смотрят в одну сторону
escalate;эскалировать / передать на уровень выше;If the issue isn't resolved by Friday, we'll need to escalate it to the VP.;шкала вверх — поднимаем проблему выше
loop in;подключить кого-то к обсуждению;Can you loop in the design team on this thread?;включить в петлю (loop) переписки
pushback;возражение / сопротивление;We got a lot of pushback from engineers on the new deployment process.;PUSH BACK — толкают назад, не соглашаются
takeaway;вывод / ключевая мысль после встречи;The main takeaway from the meeting is that we need to ship faster.;что «забираешь» с собой после встречи
follow-up;дальнейшие действия / повторный контакт;I'll send a follow-up email with the summary and next steps.;следующий шаг после первого контакта
