word;translation;sentence;association
shoe brush;щётка для обуви;I use a shoe brush every morning to keep my leather shoes clean.;SHOE + BRUSH — щётка специально для обуви
shoehorn;обувная ложка;Without a shoehorn, I can never get my dress shoes on quickly.;HORN — рожок, помогает обуть ногу как рожок
clothes steamer;отпариватель для одежды;A clothes steamer is faster than an iron for most fabrics.;STEAM — пар, разглаживает паром
lint roller;ролик для удаления ворса и шерсти;Keep a lint roller near the door if you have a cat.;LINT — пушинки, ROLLER — катаем по одежде
laundry hamper;корзина для грязного белья;The laundry hamper was overflowing by Sunday evening.;HAMPER — корзина, LAUNDRY — бельё
clothespin;прищепка для белья;The clothespins kept the sheets from flying off the line.;CLOTHES + PIN — прикалываем одежду
ironing board;гладильная доска;She set up the ironing board in the bedroom to watch TV while ironing.;IRON + BOARD — доска для утюга
garment bag;чехол для одежды (для хранения или поездок);Hang your suit in a garment bag to keep it wrinkle-free while travelling.;GARMENT — одежда, BAG — чехол-мешок
ladle;половник;Use the ladle to serve the soup directly from the pot.;звучит как «лэйдл» — большая ложка-ковш
colander;дуршлаг;Drain the pasta through the colander over the sink.;COLA + -nder — сливаем лишнее как из кока-колы
whisk;венчик для взбивания;Whisk the eggs and milk together until the mixture is smooth.;WHISK — свистящее движение по кругу
spatula;лопатка (кухонная);Flip the pancake with a spatula before it burns.;звучит как «спатула» — плоская лопаточка
tongs;щипцы кухонные;Use tongs to turn the chicken on the grill — don't pierce it with a fork.;TONGS — два пальца, которые захватывают
peeler;овощечистка;A good peeler makes prepping potatoes much faster.;PEEL — чистить кожуру, -ER — инструмент
grater;тёрка;Grate some Parmesan with the grater directly onto the pasta.;GRATE — тереть, -R — тот, кто трёт
cutting board;разделочная доска;Always use a cutting board — never cut directly on the counter.;CUTTING — нарезка, BOARD — доска
oven mitt;прихватка для духовки;Grab the oven mitt before pulling the tray out of the oven.;MITT — варежка, OVEN — духовка
dish rack;сушилка для посуды;Leave the washed dishes on the dish rack to air dry.;DISH — посуда, RACK — стойка-решётка
kitchen towel;кухонное полотенце;Keep a clean kitchen towel handy when you're cooking.;KITCHEN — кухня, TOWEL — полотенце
corkscrew;штопор;I can't open this wine without a corkscrew.;CORK — пробка, SCREW — вкручиваем
can opener;консервный нож;The can opener broke right when I needed to open the soup.;CAN — консервная банка, OPENER — открывалка
rolling pin;скалка;Roll out the dough with a rolling pin until it's about 3mm thick.;ROLLING — катаем, PIN — валик-штырь
mop;швабра;I mopped the kitchen floor after the kids spilled juice.;MOP — звук шлёпающей о пол швабры
dustpan;совок для мусора;Sweep the crumbs into the dustpan and throw them away.;DUST — пыль, PAN — сковородка-совок
scrub brush;жёсткая щётка для чистки;Use a scrub brush on the grout between the tiles.;SCRUB — тереть до блеска, BRUSH — щётка
sponge;губка;The sponge under the sink smells — time to replace it.;SPONGE — впитывает всё как губка
squeegee;водосгон / стеклоочиститель;A squeegee leaves windows streak-free better than paper towels.;SQUEE + GEE — скользит с писком по стеклу
vacuum bag;мешок для пылесоса;The vacuum lost suction because the vacuum bag was full.;VACUUM — пылесос, BAG — мешок внутри
trash can liner;мусорный пакет для ведра;I always put a liner in the trash can before tossing anything wet.;LINER — вкладыш, TRASH CAN — мусорное ведро
duster;пыльная метёлка / тряпка для пыли;Run a duster over the shelves once a week to keep them clean.;DUST — пыль, -ER — тот, кто убирает пыль
toilet brush;ёршик для унитаза;The toilet brush holder needs to be replaced — it's cracked.;TOILET — унитаз, BRUSH — щётка
plunger;вантуз;The drain was clogged and I had to use the plunger for ten minutes.;PLUNGE — нырять / давить вниз с силой
dental floss;зубная нить;My dentist recommended using dental floss at least once a day.;DENTAL — зубной, FLOSS — нить
pumice stone;пемза;She used a pumice stone to soften the rough skin on her heels.;пемза — вулканический камень, звучит похоже
bath mat;коврик для ванной;Put a bath mat outside the shower so you don't slip.;BATH — ванная, MAT — коврик
loofah;мочалка (люффа);A loofah exfoliates better than a regular washcloth.;LOOFAH — звучит мягко, как сама мочалка
towel rack;вешалка для полотенец;The towel rack fell off the wall because it wasn't anchored properly.;TOWEL — полотенце, RACK — стойка
soap dish;мыльница;The soap dish on the sink edge is always getting wet.;SOAP — мыло, DISH — тарелочка-мыльница
toilet paper holder;держатель туалетной бумаги;The toilet paper holder is loose — can you tighten the screws?;HOLDER — держатель, TOILET PAPER — туалетная бумага
shower caddy;органайзер для душа;A shower caddy keeps your shampoo and soap off the floor.;CADDY — носильщик, несёт всё твоё в душ
chair leg;ножка стула;One chair leg is shorter than the others — it wobbles.;CHAIR — стул, LEG — нога
drawer handle;ручка ящика;The drawer handle came off — I need a screwdriver to fix it.;DRAWER — ящик, HANDLE — ручка
door stopper;дверной стопор / подпорка для двери;Put a door stopper under the door so the wind doesn't slam it.;STOP — останавливает дверь
curtain rod;карниз для штор;The curtain rod needs to be drilled at least 10cm above the window frame.;ROD — прут, CURTAIN — штора
window latch;шпингалет / защёлка на окне;Make sure the window latch is locked before you leave.;LATCH — защёлкнуть, WINDOW — окно
throw pillow;декоративная подушка;She arranged three throw pillows on the sofa for the photo.;THROW — бросить на диван для красоты
coaster;подставка под стакан;Always use a coaster — that table marks easily.;COAST — скользить, подставка скользит под стакан
picture hook;крючок для картины;I need a picture hook and a hammer to hang this frame.;PICTURE — картина, HOOK — крючок
