word;translation;sentence;association
hola;привет;Hola, ¿cómo estás?;Spanish hello
gracias;спасибо;Muchas gracias por tu ayuda.;gratitude in Spanish
por favor;пожалуйста;¿Puedes ayudarme, por favor?;please in Spanish
sí;да;Sí, entiendo.;yes in Spanish
no;нет;No, no me gusta.;no in Spanish
buenos días;доброе утро;Buenos días, ¿cómo amaneció?;good morning Spanish
buenas noches;спокойной ночи;Buenas noches, hasta mañana.;good night Spanish
agua;вода;Necesito agua, por favor.;water in Spanish
casa;дом;Mi casa es tu casa.;house in Spanish
amigo;друг;Él es mi mejor amigo.;friend in Spanish
trabajo;работа;Tengo mucho trabajo hoy.;work in Spanish
comida;еда;La comida está deliciosa.;food in Spanish
tiempo;время/погода;¿Qué tiempo hace hoy?;time or weather
dinero;деньги;No tengo dinero.;money in Spanish
