word;translation;sentence;association
pupil;зрачок;The doctor shone a light into my eye to check if my pupils were reacting normally.;PUPIL — ученик смотрит широко открытыми глазами
earlobe;мочка уха;She got her earlobes pierced when she was sixteen.;EAR — ухо, LOBE — долька внизу
nostril;ноздря;The doctor asked me to breathe through one nostril at a time.;NO + STRIL — дырочка в носу для дыхания
temple;висок;I have a throbbing pain in my right temple that won't go away.;TEMPLE — висок как висячий храм сбоку головы
jaw;челюсть;My jaw clicks when I open my mouth wide — the dentist said it's TMJ.;JAW — звук хруста челюсти
collarbone;ключица;She fractured her collarbone after falling off her bike.;COLLAR — воротник лежит прямо на ключице
eyelid;веко;My upper eyelid has been twitching for three days — probably stress.;EYE — глаз, LID — крышка
iris;радужная оболочка глаза;The doctor examined my iris for signs of inflammation.;IRIS — греческая богиня радуги, радужка
gum;дёсна;My gums bleed when I brush too hard.;GUM — жвачка прилипает к дёснам
roof of the mouth;нёбо;I burned the roof of my mouth on hot pizza again.;ROOF — крыша рта сверху
ribcage;грудная клетка;The X-ray showed the ribcage was intact with no fractures.;RIB — рёбра, CAGE — клетка из рёбер
pelvis;таз (кость);She had a pelvic X-ray after the fall to rule out a fracture.;PELVIS — таз, звучит медицински
spine;позвоночник;Sitting at a desk all day puts a lot of strain on your spine.;SPINE — позвоночный столб как шип
tailbone;копчик;I fell on the ice and bruised my tailbone — sitting was painful for weeks.;TAIL — хвост, BONE — кость, остаток хвоста
shoulder blade;лопатка;The physiotherapist found tension around my right shoulder blade.;BLADE — лезвие, лопатка плоская как лезвие
groin;пах;He pulled a muscle in his groin during the first sprint of the game.;GROIN — звучит как «стон» — больно при травме
lower back;поясница;My lower back has been aching since I helped move furniture last weekend.;LOWER — нижняя, BACK — спина
abdomen;брюшная полость / живот;The doctor pressed on my abdomen to check for tenderness.;ABDOMEN — звучит медицински, живот внутри
armpit;подмышка;Apply deodorant to clean, dry armpits for best results.;ARM — рука, PIT — яма под рукой
navel;пупок;The surgeon made a small incision near the navel for the laparoscopy.;NAVAL — морской флот носит пупок на якоре
knuckle;сустав пальца / костяшка;He scraped his knuckles on the wall during the fall.;KNOCK — стучишь костяшками по двери
shin;голень (передняя часть);I walked into the coffee table and bruised my shin badly.;SHIN — звучит как «шин», защита в футболе
