word;translation;sentence;association
hello;привет;Hello! How are you?;a friendly greeting
goodbye;пока;Goodbye, see you tomorrow!;parting words
thank you;спасибо;Thank you for your help!;expressing gratitude
please;пожалуйста;Please pass the salt.;polite request
sorry;извините;Sorry, I didn't mean that.;apology word
yes;да;Yes, I agree with you.;affirmative
no;нет;No, that's not right.;negative
good morning;доброе утро;Good morning! Did you sleep well?;start of day
good night;спокойной ночи;Good night, sweet dreams!;end of day
how are you;как дела;How are you today?;check-in question
I don't understand;я не понимаю;I don't understand, can you repeat?;confusion phrase
excuse me;простите;Excuse me, where is the station?;polite interruption
help;помощь;Can you help me please?;asking for assistance
water;вода;Can I have some water?;essential liquid
food;еда;The food here is delicious!;sustenance
